date,flight,type,route,mc,lent_num,arrive_runway,bag_waight,mc_arrive,hatch_open,err_hatch_open,beg_unload_spo,end_unload_spo,beg_unload_sobgp,end_unload_sobgp,end_unload_tgo,err_end_unload,violation_standart,time_beg_lenta,time_end_lenta,violation_first_bag,violation_last_bag,deliver_1_beg,deliver_1_end,deliver_2_beg,deliver_2_end,deliver_3_beg,deliver_3_end,senior_loader,company,bag_status
2026-07-01,ЮТ 746 ,73Х,БАКУ(ИМ. ГЕЙДАРА АЛИЕВА),11,Y(А10),17:24,1360,2026-07-01 17:50:00,2026-07-01 17:51:00,,2026-07-01 17:37:00,2026-07-01 18:01:00,2026-07-01 17:37:00,2026-07-01 18:01:00,2026-07-01 18:03:00,,15.0,2026-07-01 17:58:00,2026-07-01 18:03:00,,0.0,2026-07-01 17:54:00,2026-07-01 17:58:00,2026-07-01 18:01:00,2026-07-01 18:04:00,,,Давлатов Б. Ч.,Ютэйр,Выдача до 30 минут
2026-07-01,ФВ 6009 ,СУ9,САНКТ-ПЕТЕРБУРГ(ПУЛКОВО),9,Y(А04),12:44,72,2026-07-01 13:01:00,2026-07-01 13:05:00,1.0,2026-07-01 13:04:00,2026-07-01 13:07:00,2026-07-01 13:04:00,2026-07-01 13:07:00,2026-07-01 13:05:00,2.0,3.0,2026-07-01 13:12:00,2026-07-01 13:13:00,,0.0,2026-07-01 13:10:00,2026-07-01 13:11:00,,,,,Музафаров А. С.,Россия,Выдача до 30 минут
2026-07-01,ЮТ 376 ,735,СЫКТЫВКАР,17,Y(А05),00:01,424,2026-07-01 00:11:00,2026-07-01 00:12:00,,2026-07-01 00:22:00,2026-07-01 00:23:00,2026-07-01 00:22:00,2026-07-01 00:23:00,2026-07-01 00:18:00,5.0,,2026-07-01 00:28:00,2026-07-01 00:30:00,,0.0,2026-07-01 00:24:00,2026-07-01 00:30:00,,,,,Семиченков С. А.,Ютэйр,Выдача до 30 минут
2026-07-01,TK 3178 ,321,ДАЛАМАН,27,Y(А09),00:04,2530,2026-07-01 00:19:00,2026-07-01 00:21:00,,2026-07-01 00:22:00,2026-07-01 00:29:00,2026-07-01 00:22:00,2026-07-01 00:29:00,2026-07-01 00:40:00,,,2026-07-01 00:35:00,2026-07-01 00:42:00,,0.0,2026-07-01 00:25:00,2026-07-01 00:30:00,2026-07-01 00:30:00,2026-07-01 00:33:00,,,Соколов И. С.,Turkish Airlines,Выдача до 30 минут
2026-07-01,ДР 994 ,73Х,СТАМБУЛ(СТАМБУЛ НЬЮ),46,Y(А11),00:07,873,2026-07-01 00:18:00,2026-06-30 23:52:00,-26.0,2026-07-01 00:20:00,2026-07-01 00:27:00,2026-07-01 00:20:00,2026-07-01 00:27:00,2026-07-01 00:28:00,,1.0,2026-07-01 00:49:00,2026-07-01 00:50:00,1.0,2.0,2026-07-01 00:27:00,2026-07-01 00:36:00,,,,,Саидов А. С.,Победа,Выдача от 30 до 40 минут
2026-07-01,DV 813 ,738,АСТАНА(НУРСУЛТАН НАЗАРБАЕВ),37A,Y(А13),00:10,842,2026-07-01 00:20:00,2026-07-01 00:20:00,,2026-07-01 00:23:00,2026-07-01 00:33:00,2026-07-01 00:23:00,2026-07-01 00:33:00,2026-07-01 00:30:00,3.0,4.0,2026-07-01 00:44:00,2026-07-01 00:48:00,,0.0,2026-07-01 00:34:00,2026-07-01 00:43:00,,,,,Тришкин А. В.,SCAT Airlines,Выдача до 30 минут
2026-07-01,ДР 486 ,7С8,УЛЬЯНОВСК(БАРАТАЕВКА),49,Y(А07),00:14,137,2026-07-01 00:25:00,2026-07-01 00:28:00,,2026-07-01 00:29:00,2026-07-01 00:31:00,2026-07-01 00:29:00,2026-07-01 00:31:00,2026-07-01 00:30:00,1.0,1.0,2026-07-01 00:38:00,2026-07-01 00:39:00,,0.0,2026-07-01 00:32:00,2026-07-01 00:37:00,,,,,Рустамов М. А.,Победа,Выдача до 30 минут
2026-07-01,VF 275 ,73Х,СТАМБУЛ(САБИХА ГОКЦЕН),37,Y(А10),00:16,2671,2026-07-01 00:27:00,2026-07-01 00:31:00,1.0,2026-07-01 00:30:00,2026-07-01 00:51:00,2026-07-01 00:30:00,2026-07-01 00:51:00,2026-07-01 00:49:00,2.0,3.0,2026-07-01 00:46:00,2026-07-01 00:59:00,,2.0,2026-07-01 00:37:00,2026-07-01 00:45:00,2026-07-01 00:53:00,2026-07-01 00:59:00,,,Барабанов А. М.,AJET,Выдача от 30 до 40 минут
2026-07-01,ФВ 6161 ,СУ9,САНКТ-ПЕТЕРБУРГ(ПУЛКОВО),9,Y(А04),01:16,211,2026-07-01 01:20:00,2026-07-01 01:30:00,7.0,2026-07-01 01:34:00,2026-07-01 01:37:00,2026-07-01 01:34:00,2026-07-01 01:37:00,2026-07-01 01:25:00,12.0,2.0,2026-07-01 01:40:00,2026-07-01 01:41:00,,0.0,2026-07-01 01:37:00,2026-07-01 01:39:00,,,,,Лизенко Е. В.,Россия,Выдача до 30 минут
2026-07-01,TK 419 ,333,СТАМБУЛ(СТАМБУЛ НЬЮ),23,Y(А09),04:40,4187,2026-07-01 04:55:00,2026-07-01 04:57:00,,2026-07-01 04:57:00,2026-07-01 05:24:00,2026-07-01 04:58:00,2026-07-01 05:24:00,2026-07-01 05:27:00,,,2026-07-01 05:15:00,2026-07-01 05:26:00,,1.0,2026-07-01 05:12:00,2026-07-01 05:24:00,2026-07-01 05:27:00,2026-07-01 05:28:00,,,"Саидов А. С., Фартушный А. И.",Turkish Airlines,Выдача от 30 до 40 минут
