date,flight,type,route,mc,lent_num,arrive_runway,bag_waight,mc_arrive,hatch_open,err_hatch_open,beg_unload_spo,end_unload_spo,beg_unload_sobgp,end_unload_sobgp,end_unload_tgo,err_end_unload,violation_standart,time_beg_lenta,time_end_lenta,violation_first_bag,violation_last_bag,deliver_1_beg,deliver_1_end,deliver_2_beg,deliver_2_end,deliver_3_beg,deliver_3_end,senior_loader,company,bag_status
2026-09-01,PC 1576 ,32Щ,АНТАЛЬЯ,37,Y(А10),00:07,2726,2026-09-01 00:18:00,2026-09-01 00:19:00,,2026-09-01 00:20:00,2026-09-01 00:34:00,2026-09-01 00:20:00,2026-09-01 00:34:00,2026-09-01 00:40:00,,,2026-09-01 00:32:00,2026-09-01 00:45:00,,0.0,2026-09-01 00:25:00,2026-09-01 00:32:00,2026-09-01 00:34:00,2026-09-01 00:41:00,,,"Наполов С. Н., Тано Б. А.",Pegasus,Выдача до 30 минут
2026-09-01,PC 1521 ,32Н,ИЗМИР(АДНАН МЕНДЕРЕС),37A,Y(А10),00:16,2267,2026-09-01 00:28:00,2026-09-01 00:28:00,,2026-09-01 00:31:00,2026-09-01 00:51:00,2026-09-01 00:31:00,2026-09-01 00:51:00,2026-09-01 00:47:00,4.0,5.0,2026-09-01 00:43:00,2026-09-01 00:58:00,,0.0,2026-09-01 00:38:00,2026-09-01 00:42:00,2026-09-01 00:52:00,2026-09-01 00:58:00,,,Ушаков Г. А.,Pegasus,Выдача до 30 минут
2026-09-01,ЮТ 1376 ,734,СЫКТЫВКАР,16,Y(А08),00:20,285,2026-09-01 00:28:00,2026-09-01 00:30:00,,2026-09-01 00:32:00,2026-09-01 00:37:00,2026-09-01 00:32:00,2026-09-01 00:37:00,2026-09-01 00:34:00,3.0,3.0,2026-09-01 01:09:00,2026-09-01 01:10:00,21.0,12.0,2026-09-01 00:38:00,2026-09-01 00:42:00,,,,,Федоров Н. В.,Ютэйр,Выдача более 40 минут
2026-09-01,ДР 210 ,7С8,САНКТ-ПЕТЕРБУРГ(ПУЛКОВО),46,Y(А04),00:25,154,2026-09-01 00:33:00,2026-09-01 00:35:00,,2026-09-01 00:38:00,2026-09-01 00:40:00,2026-09-01 00:38:00,2026-09-01 00:40:00,2026-09-01 00:38:00,2.0,1.0,2026-09-01 00:47:00,2026-09-01 00:49:00,,0.0,2026-09-01 00:42:00,2026-09-01 00:49:00,,,,,Рябчевский В. О.,Победа,Выдача до 30 минут
2026-09-01,TK 3060 ,321,АНТАЛЬЯ,18,Y(А10),00:29,2321,2026-09-01 00:37:00,2026-09-01 00:45:00,5.0,2026-09-01 00:41:00,2026-09-01 00:54:00,2026-09-01 00:41:00,2026-09-01 00:54:00,2026-09-01 00:56:00,,,2026-09-01 00:59:00,2026-09-01 01:06:00,2.0,0.0,2026-09-01 00:30:00,2026-09-01 01:04:00,,,,,Соболь М. Ф.,Turkish Airlines,Выдача до 30 минут
2026-09-01,ДР 1264 ,73Х,КАЛИНИНГРАД(ХРАБРОВО),48,Y(А06),00:33,630,2026-09-01 00:45:00,2026-09-01 00:45:00,,2026-09-01 00:47:00,2026-09-01 00:51:00,2026-09-01 00:47:00,2026-09-01 00:51:00,2026-09-01 00:53:00,,,2026-09-01 00:58:00,2026-09-01 01:01:00,,0.0,2026-09-01 00:53:00,2026-09-01 00:58:00,,,,,Киричек А. А.,Победа,Выдача до 30 минут
2026-09-01,ДР 436 ,7С8,УФА,50,Y(А08),11:45,363,2026-09-01 11:51:00,2026-09-01 11:53:00,,2026-09-01 11:53:00,2026-09-01 11:58:00,2026-09-01 11:53:00,2026-09-01 11:58:00,2026-09-01 11:57:00,1.0,3.0,2026-09-01 12:03:00,2026-09-01 12:04:00,,0.0,2026-09-01 11:56:00,2026-09-01 12:03:00,,,,,Баташан В. Ю.,Победа,Выдача до 30 минут
2026-09-01,ДР 1422 ,73Х,САМАРА(КУРУМОЧ),47,Y(А04),01:22,197,2026-09-01 01:30:00,2026-09-01 01:31:00,,2026-09-01 01:31:00,2026-09-01 01:33:00,2026-09-01 01:31:00,2026-09-01 01:33:00,2026-09-01 01:35:00,,1.0,,-1,,0.0,2026-09-01 01:37:00,2026-09-01 01:40:00,,,,,Киричек А. А.,Победа,Некорректно проставлены отметки
2026-09-01,TK 3084 ,321,ДАЛАМАН,24,Y(А13),00:42,2310,2026-09-01 00:51:00,2026-09-01 00:52:00,,2026-09-01 00:54:00,2026-09-01 01:10:00,2026-09-01 00:54:00,2026-09-01 01:10:00,2026-09-01 01:10:00,,1.0,2026-09-01 01:06:00,2026-09-01 01:21:00,,0.0,2026-09-01 00:57:00,2026-09-01 01:18:00,,,,,Музафаров А. С.,Turkish Airlines,Выдача до 30 минут
2026-09-01,TK 409 ,73Й,СТАМБУЛ(СТАМБУЛ НЬЮ),20,Y(А09),00:51,4247,2026-09-01 01:04:00,2026-09-01 01:05:00,,2026-09-01 01:06:00,2026-09-01 01:40:00,2026-09-01 01:06:00,2026-09-01 01:40:00,2026-09-01 01:36:00,4.0,6.0,2026-09-01 01:17:00,2026-09-01 01:42:00,,8.0,2026-09-01 01:26:00,2026-09-01 01:30:00,2026-09-01 01:15:00,2026-09-01 01:17:00,2026-09-01 01:35:00,2026-09-01 01:46:00,"Хушвактов П. З., Юрков С.",Turkish Airlines,Выдача от 30 до 40 минут
2026-09-01,TK 3002 ,321,АНТАЛЬЯ,27,Y(А09),01:00,2632,2026-09-01 01:09:00,2026-09-01 01:12:00,,2026-09-01 01:15:00,2026-09-01 01:20:00,2026-09-01 01:15:00,2026-09-01 01:20:00,2026-09-01 01:31:00,,,2026-09-01 01:23:00,2026-09-01 01:26:00,,0.0,2026-09-01 00:59:00,2026-09-01 01:24:00,2026-09-01 01:21:00,2026-09-01 01:27:00,,,Рябчевский В. О.,Turkish Airlines,Выдача до 30 минут
2026-09-01,ДР 1168 ,7С8,МИНЕРАЛЬНЫЕ ВОДЫ,51,Y(А06),01:02,639,2026-09-01 01:16:00,2026-09-01 01:19:00,,2026-09-01 01:17:00,2026-09-01 01:21:00,2026-09-01 01:17:00,2026-09-01 01:21:00,2026-09-01 01:24:00,,,2026-09-01 01:31:00,2026-09-01 01:36:00,,0.0,2026-09-01 01:25:00,2026-09-01 01:34:00,,,,,Тано Б. А.,Победа,Выдача до 30 минут
2026-09-01,TK 217 ,32Б,АНТАЛЬЯ,21,Y(А10),01:06,2321,2026-09-01 01:20:00,2026-09-01 01:22:00,,2026-09-01 01:24:00,2026-09-01 01:36:00,2026-09-01 01:24:00,2026-09-01 01:36:00,2026-09-01 01:39:00,,,2026-09-01 01:36:00,2026-09-01 01:46:00,,0.0,2026-09-01 01:28:00,2026-09-01 01:42:00,,,,,Демчук Д. П.,Turkish Airlines,Выдача до 30 минут
2026-09-01,ДР 208 ,73Х,САНКТ-ПЕТЕРБУРГ(ПУЛКОВО),50,Y(А08),01:11,236,2026-09-01 01:17:00,2026-09-01 01:20:00,,2026-09-01 01:27:00,2026-09-01 01:28:00,2026-09-01 01:27:00,2026-09-01 01:28:00,2026-09-01 01:23:00,5.0,,2026-09-01 01:36:00,2026-09-01 01:38:00,,0.0,2026-09-01 01:28:00,2026-09-01 01:40:00,,,,,Федоров Н. В.,Победа,Выдача до 30 минут
2026-09-01,TK 421 ,333,СТАМБУЛ(СТАМБУЛ НЬЮ),23,Y(А09),01:14,5927,2026-09-01 01:27:00,2026-09-01 01:30:00,,2026-09-01 01:35:00,2026-09-01 01:56:00,2026-09-01 01:35:00,2026-09-01 01:56:00,2026-09-01 02:11:00,,,2026-09-01 01:55:00,2026-09-01 02:05:00,8.0,8.0,2026-09-01 01:35:00,2026-09-01 01:56:00,2026-09-01 01:33:00,2026-09-01 02:02:00,2026-09-01 01:28:00,2026-09-01 02:05:00,Михайлов М. С.,Turkish Airlines,Выдача от 30 до 40 минут
2026-09-01,VF 275 ,73Х,СТАМБУЛ(САБИХА ГОКЦЕН),42,Y(А10),00:47,2825,2026-09-01 00:58:00,2026-09-01 01:00:00,,2026-09-01 00:59:00,2026-09-01 01:22:00,2026-09-01 00:59:00,2026-09-01 01:22:00,2026-09-01 01:21:00,1.0,4.0,2026-09-01 01:10:00,2026-09-01 01:29:00,,1.0,2026-09-01 01:05:00,2026-09-01 01:10:00,2026-09-01 01:22:00,2026-09-01 01:29:00,,,"Барабанов А. М., Пельгуев Д.",AJET,Выдача от 30 до 40 минут
2026-09-01,TK 211 ,32Б,АНТАЛЬЯ,29,Y(А09),00:11,2455,2026-09-01 00:26:00,2026-09-01 00:27:00,,2026-09-01 00:29:00,2026-09-01 00:43:00,2026-09-01 00:29:00,2026-09-01 00:43:00,2026-09-01 00:46:00,,,2026-09-01 00:40:00,2026-09-01 00:50:00,,0.0,2026-09-01 00:34:00,2026-09-01 00:40:00,2026-09-01 00:41:00,2026-09-01 00:54:00,,,Шарипов Д. А.,Turkish Airlines,Выдача до 30 минут
2026-09-01,AZO 7008 ,СУ9,ТБИЛИСИ(ТБИЛИСИ ИНТЛ.),45,Y(А11),01:17,1372,2026-09-01 01:26:00,2026-09-01 01:26:00,,2026-09-01 01:30:00,2026-09-01 01:45:00,2026-09-01 01:30:00,2026-09-01 01:45:00,2026-09-01 01:39:00,6.0,6.0,2026-09-01 01:45:00,2026-09-01 01:53:00,,0.0,2026-09-01 01:39:00,2026-09-01 01:44:00,2026-09-01 01:37:00,2026-09-01 01:52:00,,,Сыргаков Б. А.,GEORGIAN AIRWAYS,Выдача до 30 минут
2026-09-01,TK 3036 ,321,АНТАЛЬЯ,19,Y(А10),01:33,2693,2026-09-01 01:45:00,2026-09-01 01:45:00,,2026-09-01 01:47:00,2026-09-01 01:59:00,2026-09-01 01:47:00,2026-09-01 01:59:00,2026-09-01 02:07:00,,,2026-09-01 01:58:00,2026-09-01 02:06:00,,0.0,2026-09-01 01:46:00,2026-09-01 01:57:00,2026-09-01 01:45:00,2026-09-01 02:07:00,,,Ушаков П. А.,Turkish Airlines,Выдача до 30 минут
2026-09-01,PC 1458 ,32Щ,ДАЛАМАН,25,Y(А10),05:48,2599,2026-09-01 05:59:00,2026-09-01 06:00:00,,2026-09-01 06:02:00,2026-09-01 06:24:00,2026-09-01 06:02:00,2026-09-01 06:24:00,2026-09-01 06:20:00,4.0,5.0,2026-09-01 06:11:00,2026-09-01 06:28:00,,0.0,2026-09-01 06:08:00,2026-09-01 06:12:00,2026-09-01 06:26:00,2026-09-01 06:30:00,,,"Тано Б. А., Хушвактов П. З.",Pegasus,Выдача до 30 минут
